the_geom,name,OBJECTID,FOLIO,ID,ZIPCODE,PHONE,CONTACT,TOTACRE,POINT_X,POINT_Y,CLASS,TYPE,MNGTAGCY,MUNICIPAL_,PROPNUM,PARKURL,AMPHITHEAT,AUDITORIUM,ARCHERY,BASEBALL,BASKETBALL,BEACH,BMXTRACK,BOATRAMP,CAMPGROUND,RVCAMPGROU,DOGPARK,EQUESTRIAN,FOOTBALL,FRISBEEGOL,GOLF,GOLFDRIVIN,GUNRANGE,GYMNASIUM,MARINA,MOUNTAINBI,NATURECENT,NATURETRAI,RAQUETBALL,REC_CENTER,ROLLERHOCK,SHELTER,SKATING,SOCCER,STADIUM,SWIMMING,TENNIS,TOTLOT,TRACK400,TRAIL,VOLLEYBALL,WETPLAYGRO,WIFI,ZOO,GlobalID,created_user,created_date,last_edited_user,last_edited_date,FACILITYPLAN,ART,BIKETRAIL,CANOE_LAUNCH,FITNESSZONE,PLAYGROUND,RESTROOM,Location 1,ADDRESS,CITY,lat,lon,park_size
POINT (-80.24517269656576 25.806514693351676),Melrose Park,12,3031280340010,22,33142,305-633-4066,NA,0,904499.00006,536076.99908,Neighborhood Park,Local,MiamiDadePark,County,312801,http://www.miamidade.gov/parks/,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,{3CEF59F0-356B-4886-B802-9BB3F7A6B4F6},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Not Available.pdf,No,No,No,No,No,No,"(25.80651, -80.24517)",3050 NW 35TH ST,MIAMI,25.80651,-80.24517,Small Park
POINT (-80.11966265964018 25.818114698869852),Miami Beach,13,NA,23,33141,305-868-7075,NA,0,945766.00119,540550.000307,Metropolitan Park,Area-Wide,MiamiDadePark,County,320201,http://www.miamidade.gov/parks/,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{859CB461-583D-482F-939C-C689C2DFA791},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Miami Beach.pdf,No,No,No,No,No,No,"(25.81811, -80.11966)",FROM SOUTH BEACH TO NW 86 ST,MIAMI BEACH,25.81811,-80.11966,Small Park
POINT (-80.39941273645138 25.613394641066147),Zoo Miami,14,3059360000050,24,33177,305-251-0403,NA,740,854072.99953,465626.00022,Special Activity Park,Area-Wide,MiamiDadePark,County,592500,http://www.miamidade.gov/parks/zoo-miami.asp,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,{C960E7EA-268E-4077-9811-1BC70A232CC5},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:49 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Zoo Miami.pdf,No,No,No,No,No,No,"(25.61339, -80.39941)",12400 SW 152ND ST,MIAMI,25.61339,-80.39941,Very Large Park
POINT (-80.22225269143622 25.873404710802415),Miami Shores Optimist Club,15,3021350000050,25,33167,305-835-7987,NA,9.2,911897.000355,560433.999909,Single Purpose Park,Local,MiamiDadePark,County,213502,http://www.miamidade.gov/parks/,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{80275FAF-952B-4CAB-A3DD-61ACE576AE9B},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Miami Shores Optimist Club.pdf,No,No,No,No,No,No,"(25.8734, -80.22225)",10915 NW 14TH AVE,MIAMI,25.8734,-80.22225,Large Park
POINT (-80.2411726944383 25.773664685563965),Miami-Dade County Auditorium,16,141040000040,26,33125,305-547-5414 x226,NA,9.47,905885.0009,524147.99965,Special Activity Park,Area-Wide,MiamiDadePark,County,410401,http://www.miamidade.gov/parks/mdc-auditorium.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{02CE6CC8-AAE1-4EA5-9E53-B106A1878BE7},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Miami-Dade County Auditorium.pdf,No,No,No,No,No,No,"(25.77366, -80.24117)",2901 WEST FLAGLER ST,MIAMI,25.77366,-80.24117,Large Park
POINT (-80.34294272517837 25.823804695984013),Miami-Dade Regional Soccer Park,17,3030160000010,27,33178,NA,NA,33.57,872303.00015,542191.00096,Single Purpose Park,Area-Wide,MiamiDadePark,County,301699,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{2613DFF2-0711-453E-870C-76FB3F992D3A},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Miami-Dade Regional Soccer Park.pdf,No,No,No,No,No,No,"(25.8238, -80.34294)",8795 NW 58TH ST,MIAMI,25.8238,-80.34294,Very Large Park
POINT (-80.28939271378755 25.94987472912571),Acadia Park,19,3021060141670,29,33055,305-621-2461,NA,5.24,889670.00019,588104.999685,Neighborhood Park,Local,MiamiDadePark,County,210600,http://www.miamidade.gov/parks/acadia.asp,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{D681628E-11E2-487E-A4AF-08F137619E2E},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Acadia Park.pdf,No,No,No,No,No,No,"(25.94987, -80.28939)",5351 NW 195TH DR,MIAMI,25.94987,-80.28939,Large Park
POINT (-80.23192269344871 25.83105469962243),African Heritage Cultural Arts Cntr,20,3031150270030,30,33142,305-638-6771,NA,4,908807.999972,545021.999893,Special Activity Park,Area-Wide,MiamiDadePark,County,311509,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{663B1FCF-679D-4318-9FB0-BD11B7369BCB},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/African Heritage Cultural Arts Cntr.pdf,No,No,No,No,No,No,"(25.83105, -80.23192)",2166 NW 62ND ST,MIAMI,25.83105,-80.23192,Medium Park
POINT (-80.22222269040068 25.835854701136107),Alonzo Kelly Park,21,131140180310,31,33147,305-694-4889,NA,0.5,911986.99952,546787.000628,Mini Park,Local,MiamiDadePark,County,311419,http://www.miamidade.gov/parks/alonzo-kelly.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,{87D968A9-7A7A-4F2D-9D39-404F350D6AAF},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Alonzo Kelly Park.pdf,No,No,No,No,No,No,"(25.83585, -80.22222)",1455 NW 67TH ST,MIAMI,25.83585,-80.22222,Small Park
POINT (-80.27626270762615 25.888694713619355),Amelia Earhart Park,22,821320010013,32,33014,305-953-6024,NA,515,894105.99952,565889.99949,District Park,Local,MiamiDadePark,County,213001,http://www.miamidade.gov/parks/amelia-earhart.asp,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,{EA07014E-9D73-4086-907C-48BFCA570658},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Amelia Earhart Park.pdf,No,No,No,No,No,No,"(25.88869, -80.27626)",401 E 65 ST,HIALEAH,25.88869,-80.27626,Very Large Park
POINT (-80.1614226745924 25.901274719469882),Arch Creek Park,23,722200140310,33,33181,305-944-6111,NA,0,931834.99952,570687.0004,Natural Area Preserve,Area-Wide,MiamiDadePark,County,222101,http://www.miamidade.gov/parks/arch-creek.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{E23981B9-7014-4376-91C8-6ED2A4F61086},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Arch Creek Park.pdf,No,No,No,No,No,No,"(25.90127, -80.16142)",1855 NE 135TH ST,NORTH MIAMI BEACH,25.90127,-80.16142,Small Park
POINT (-80.21954269071801 25.85138470551084),Arcola Lakes Park,24,3031110590010,34,33147,305-836-5095,NA,3.85,912836.00077,552437.999496,Community Park,Local,MiamiDadePark,County,311106,http://www.miamidade.gov/parks/arcola-lakes.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,{41F3C5A9-C145-42F1-B551-CA6C55BB3C47},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Arcola Lakes Park.pdf,No,No,No,No,No,No,"(25.85138, -80.21954)",1301 NW 83RD ST,MIAMI,25.85138,-80.21954,Medium Park
POINT (-80.36127272637995 25.646434650850953),Area 313,25,3050170220090,35,33176,305-274-9666,NA,0.94,866584.999772,477695.000361,Greenway Park,Area-Wide,MiamiDadePark,County,501704,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{AF1DDEA5-D1D8-4EB1-B7F0-E223B7DD1ABD},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Area 313.pdf,No,No,No,No,No,No,"(25.64643, -80.36127)",10350 SW 132ND ST,MIAMI,25.64643,-80.36127,Small Park
POINT (-80.35522272475669 25.65908465348348),Area 316,26,3050080170440,36,33176,305-274-9666,NA,2.3,868555.99977,482300.999351,Greenway Park,Area-Wide,MiamiDadePark,County,500802,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{FDF846AF-0AB2-4956-9753-9E3745BF95D0},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Area 316.pdf,No,No,No,No,No,No,"(25.65908, -80.35522)",9905 SW 120TH ST,MIAMI,25.65908,-80.35522,Medium Park
POINT (-80.3550327247859 25.65254465223685),Area 318,27,3050170200330,37,33176,305-274-9666,NA,4.69,868627.999623,479923.999512,Greenway Park,Area-Wide,MiamiDadePark,County,501701,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{EB0CB4F2-31B3-4A3B-A723-685569717D65},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Area 318.pdf,No,No,No,No,No,No,"(25.65254, -80.35503)",9900 SW 128TH ST,MIAMI,25.65254,-80.35503,Medium Park
POINT (-80.35315272606772 25.739024673740623),Area 323,28,3040170000410,38,33165,786-315-5295,NA,4.49,869096.000328,511357.999964,Greenway Park,Area-Wide,MiamiDadePark,County,401702,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{3EC52036-8FDA-4365-9332-777BF3BF7928},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Area 323.pdf,No,No,No,No,No,No,"(25.73902, -80.35315)",9750 SW 32ND ST,MIAMI,25.73902,-80.35315,Medium Park
POINT (-80.35294272690375 25.740884674561386),Area 324,29,3040170050760,39,33165,786-315-5295,NA,1.89,869158.99987,512035.99959,Greenway Park,Area-Wide,MiamiDadePark,County,401703,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{FF7D4D7F-46FB-4657-B1DE-67B72976825A},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Area 324.pdf,No,No,No,No,No,No,"(25.74088, -80.35294)",9761 SW 32ND ST,MIAMI,25.74088,-80.35294,Medium Park
POINT (-80.36443272735997 25.6463646504127),Area 338,30,3050170190190,40,33176,305-596-9324,NA,1.1,865544.99956,477665.000093,Greenway Park,Area-Wide,MiamiDadePark,County,501705,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{0D4D3D1D-E3B4-4146-8B0F-D7AC7FB4F45D},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Area 338.pdf,No,No,No,No,No,No,"(25.64636, -80.36443)",13211 SW 105TH AVE,MIAMI,25.64636,-80.36443,Small Park
POINT (-80.40315273918613 25.666614654797893),Arvida Park,31,3059110131400,41,33186,305-386-0227,NA,8,852754.99922,484964.99993,Neighborhood Park,Local,MiamiDadePark,County,591100,http://www.miamidade.gov/parks/arvida.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{46518C40-7878-49CE-9690-F81562C7C7F5},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Arvida Park.pdf,No,No,No,No,No,No,"(25.66661, -80.40315)",12830 SW 108TH ST,MIAMI,25.66661,-80.40315,Large Park
POINT (-80.38437273053623 25.55430462694847),William Randolph Community Park,32,3069130000690,42,33170,305-233-3150,NA,10,859131.00024,444173.000476,Neighborhood Park,Local,MiamiDadePark,County,691303,http://www.miamidade.gov/parks/william-randolph.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{F3A7A221-C1F4-4FA2-929F-3CE772BC0B32},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:49 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/William Randolph Community Park.pdf,No,No,No,No,No,No,"(25.5543, -80.38437)",SW 228TH ST / SW 119TH AVE,MIAMI,25.5543,-80.38437,Large Park
POINT (-80.12121266313706 25.893394717897618),Bal Harbour Beach,33,NA,43,33154,305-868-7075,NA,0,945071.999622,567909.999392,Metropolitan Park,Area-Wide,MiamiDadePark,County,222601,http://www.miamidade.gov/parks/,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{CD88FDC9-E961-401B-9563-25B3C2900BC4},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Bal Harbour Beach.pdf,No,No,No,No,No,No,"(25.89339, -80.12121)",9701 COLLINS AVE,BAL HARBOUR,25.89339,-80.12121,Small Park
POINT (-80.28425270464878 25.68768466289181),Banyan Drive Park,34,3051060040140,44,33156,305-233-3150,NA,0.8,891878.000367,492815.000304,Mini Park,Local,MiamiDadePark,County,510605,http://www.miamidade.gov/parks/banyan-drive.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{7E687742-1BDD-4E7C-9E73-E8869F7E2DD0},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Banyan Drive Park.pdf,No,No,No,No,No,No,"(25.68768, -80.28425)",SW 56TH CT / BANYAN DR,CORAL GABLES,25.68768,-80.28425,Small Park
POINT (-80.36051272470013 25.603534640039154),Ben Shavis Park,36,3050320390010,46,33157,305-233-3045,NA,0.87,866910.99945,462102.000379,Mini Park,Local,MiamiDadePark,County,503201,http://www.miamidade.gov/parks/benshavis.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,{36E8CCFB-13A6-4B53-BAC0-96B41D9C77C6},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Ben Shavis Park.pdf,No,No,No,No,No,No,"(25.60353, -80.36051)",10395 SW 179TH ST,MIAMI,25.60353,-80.36051,Small Park
POINT (-80.41864274536306 25.7221546689273),Bent Tree Park,37,3049220020030,47,33175,305-207-1730,NA,5.88,847562.00009,505126.00029,Neighborhood Park,Local,MiamiDadePark,County,492200,http://www.miamidade.gov/parks/bent-tree.asp,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,{0AA25F3B-58C0-4740-9BDA-92F89B752D8E},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Bent Tree Park.pdf,No,No,No,No,No,No,"(25.72215, -80.41864)",13850 SW 47TH ST,MIAMI,25.72215,-80.41864,Large Park
